,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2022-06-10_12_55_00,12.169347503768954,11.078354895319546,23.41376735416508,12.543181769191271,6.614264179016817,8.549893472545818,4.248980178220701,28.40258635201286,3.077227997997201,6.932768439911696,2.172983589117189,7.814223316719472,10.964029661602687,3.046830333629808,3.284649418858998,6.856063366738138,5.81541807971506,1.8950024874376217,3.3459656872517853,1.2364788104627975,1.6657297268608156,4.204467021140189,0.8433957800659299,1.0052318472368342,3.591940774367327,0.7986486739686173,9.542794629971654,0.7983275465422589,0.5241927607567126,0.6938029921708144,0.448018215672348,4.848869816309723,5.764171741724783,2.0989021884827626,7.033210598315781,1.1757456017727022,2.5910332981255326,0.6521020069222214,1.32417055986185,8.228259197144425,3.0452790487667247,3.8345790134107154,1.8270694218237955,13.417203974613706,1.2306943501879153
2022-06-10_12_56_00,12.16935996312032,11.078206968440789,23.41400409461295,12.543219149261986,6.614301828088316,8.549893472545818,4.248843117961411,28.40267357217786,3.077343618975569,6.932789650837705,2.172983589117189,7.814212711256467,10.964034206801326,3.0468546780853525,3.284667596556902,6.856075493507994,5.815430206500357,1.895005518680153,3.3459550843871395,1.2364788104627975,1.6657342709456635,4.204500364810061,0.8431837227730175,1.005237906016632,3.591943805610042,0.7986441298837004,9.547086869656866,0.7983381494069045,0.5241927607567126,0.6938029921708144,0.448018215672348,4.85417145981921,5.764195991666508,2.099014275909016,7.03323787950022,1.1757440870777525,2.591148391489472,0.6520979543841451,1.32417055986185,8.251480985413275,3.0481054695422563,3.839127642343685,1.82706639058108,13.447386056502603,1.230699398142474
2022-06-10_12_57_00,12.16935996312032,11.078206968440789,23.41415361489581,12.543194229214844,6.614427324993311,8.549831175788988,4.249042478338561,28.402598812036437,3.0773862161781254,6.932782075506988,2.1729227280487056,7.814349067209379,10.964022086271626,3.0468972808825545,3.284676685405853,6.856117937202493,5.815424143107708,1.8950024874376217,3.3459702313366333,1.2364818398526964,1.6657388150305117,4.204212396752085,0.8431700905184731,1.005237906016632,3.59198624300806,0.798647159273645,9.534419306348603,0.7983351200170057,0.5241907344876745,0.6938029921708144,0.4480242944794624,4.8438227971883405,5.764305116404267,2.098929452991851,7.033256066956514,1.1757395429929045,2.5907950346703617,0.6521020069222214,1.3241675304719511,8.274342276284177,3.0515938120106645,3.843821681991795,1.8270633593383645,13.473630554342725,1.230410655141715
2022-06-10_12_58_00,12.169297666363487,11.07829325912006,23.414265755107955,12.543131929096983,6.614427324993311,8.549893472545818,4.249042478338561,28.402598812036437,3.077301021773013,6.932757834448693,2.1728740391939194,7.8143536124078095,10.964029661602687,3.0469277114519846,3.2852235311511206,6.85731545572583,5.8153483506995975,1.895005518680153,3.345962657861886,1.2364803251577472,1.6657342709456635,4.204236646693809,0.8431731199083717,1.005230332541885,3.5919983679789222,0.798642615188728,9.540512104206847,0.7983366347119553,0.5241907344876745,0.6938029921708144,0.4480242944794624,4.866178212215484,5.764350585045,2.09900518773932,7.033268191927376,1.1757546899423983,2.5904760039422507,0.6521020069222214,1.32417055986185,8.298279000569131,3.054667128062944,3.84843089872274,1.8270633593383645,13.489235390896306,1.2304056071871563
2022-06-10_12_59_00,12.169285207012123,11.07829325912006,23.414265755107955,12.543206689238415,6.614427324993311,8.549881013194453,4.249104778456419,28.402598812036437,3.077343618975569,6.932765409779409,2.172965330796644,7.814318765886511,10.9640311766689,3.0469277114519846,3.284676685405853,6.8561088421251,5.815427174804032,1.8950085499226847,3.345985378286126,1.2364803251577472,1.6656964035719295,4.204245740421955,0.8431700905184731,1.005230332541885,3.5920226179206463,0.7986486739686173,9.537383861724408,0.7983336053220564,0.5241917476221936,0.6937999627809157,0.4480242944794624,4.853719804654594,5.764396053685734,2.0989461146362944,7.033343972995265,1.1757531752474488,2.590887917034242,0.6520949149805879,1.3241720745567995,8.118325667108765,3.057505666398071,3.852965895401165,1.827060328095649,13.518723318245424,1.230410655141715
2022-06-10_13_00_00,12.169247828958024,11.078280931880164,23.414465115485108,12.543094549026268,6.614427324993311,8.549881013194453,4.249216918668567,28.402598812036437,3.077325363031616,6.932763894713266,2.1729227280487056,7.81871094263643,10.964132686105128,3.046915539224213,3.284694863103757,6.856105810432636,5.860929904937524,1.8950024874376217,3.345962657861886,1.236471236988051,1.6657418444204108,4.203842585140788,0.8431746346033213,1.005237906016632,3.591825587144136,0.7986501886635897,9.547981086257952,0.7983351200170057,0.5241907344876745,0.6938029921708144,0.4480242944794624,4.84796650598049,5.764365741258578,2.098964290975687,7.034138158586738,1.1757546899423983,2.5903063926690777,0.652095928115107,1.3241720745567995,8.142527463009861,3.06062896738368,3.858146152128024,1.8298339151803729,13.550839332869591,1.2304116647326269
2022-06-10_13_01_00,12.169185532201194,11.07823162292058,23.45635571473374,12.530821425807972,6.614427324993311,8.549893472545818,4.249216918668567,28.40307229293216,3.0773862161781254,6.932769954977839,2.1729166419418577,7.818795786340464,10.964293283123636,3.0469703142491875,3.284705466760868,6.856105810432636,5.860935968330173,1.8950024874376217,3.3460535395588487,1.2364803251577472,1.6657403297254612,4.203885022538805,0.8431685758235238,1.0052318472368342,3.591937743124611,0.7986577621384512,9.548405460238127,0.7983351200170057,0.5241917476221936,0.6937984480859664,0.4480242944794624,4.855041426478572,5.764393022443018,2.099015790603965,7.033428847791299,1.1760500554575262,2.591218053262382,0.6520999806531832,1.3241720745567995,8.168399967440116,3.0640748983935056,3.8630886017478314,1.8298339151803729,13.584328500360655,1.230403588005333
2022-06-10_13_02_00,12.16935996312032,11.07829325912006,23.458959859660265,12.508081882789307,6.614364576540813,8.54985609449172,4.248992638244273,28.40293523267287,3.0773862161781254,6.932789650837705,2.1729896752240374,7.814417245185836,10.964308433785758,3.0469703142491875,3.284696377911916,6.856005764581319,5.860917778152226,1.895005518680153,3.3461171567467223,1.2364803251577472,1.6657373003355624,4.203888053781521,0.8431867521629163,1.005233361931784,3.591961993066336,0.7986577621384512,9.572876682680722,0.7983351200170057,0.5241887082186364,0.6938029921708144,0.4480242944794624,4.837199531854875,5.76440514741388,2.098949144026193,7.0334318790340165,1.1757622634171452,2.590065100441171,0.6521009937877023,1.3241735892517488,8.191027995288815,3.066715011690264,3.867888670042397,1.829839977665804,13.614289301544732,1.2304086359598918
2022-06-10_13_03_00,12.169222910255291,11.078354895319546,23.520038895209584,12.510548967456536,6.614352026850313,8.549806257086257,4.249092318432848,28.40269849222501,3.077337533660918,6.932795711102278,2.172947072476099,7.814418760251979,10.964312978984395,3.0469764003630733,3.285211412685852,6.856157349204526,5.860926873241199,1.8950024874376217,3.3461459359507604,1.2364803251577472,1.6657494178951575,4.203915334965961,0.8431761492982706,1.0055256980570129,3.591961993066336,0.7986547327485065,9.577881264404088,0.7983290612372083,0.5241897213531554,0.6938029921708144,0.448018215672348,4.877020967408988,5.7644869909672,2.098961261585788,7.033492503888327,1.1757622634171452,2.592061061673688,0.6521020069222214,1.3241720745567995,8.217410951917008,3.069867091879912,3.8755015268579496,1.8298430089085191,13.651800927875463,1.2304086359598918
2022-06-10_13_04_00,12.169297666363487,11.078354895319546,23.456181274403733,12.510548967456536,6.614352026850313,8.549818716437622,4.249515959234292,28.402548971942142,3.077343618975569,6.932792680969992,2.172965330796644,7.814436941045701,10.96431600911682,3.0469277114519846,3.28466911136506,6.856142190742205,5.860848049136764,1.894984299982431,3.346111097966925,1.2364803251577472,1.6657373003355624,4.203869866325228,0.8431746346033213,1.0055256980570129,3.5919832117653443,0.798656247443479,9.580027384246693,0.7983290612372083,0.5241927607567126,0.6937939040011183,0.4480192288068671,4.871855729821699,5.764505178423493,2.098876438668623,7.033553128742638,1.1757668075019931,2.5922306729468607,0.6521020069222214,1.3241735892517488,8.24128254431914,3.073179729734192,3.8804454911727055,1.8298430089085191,13.683883598831784,1.2304096455508031
2022-06-10_13_05_00,12.169222910255291,11.07829325912006,23.456380634780885,12.510536507432963,6.614427324993311,8.549818716437622,4.249615639422866,28.402710952248576,3.0773862161781254,6.9328017713668535,2.172959244689796,7.814438456111844,10.964311463918182,3.0468972808825545,3.2846933482955984,6.856139159049741,5.860814700477195,1.8950085499226847,3.3461368477810645,1.2364788104627975,1.6657297268608156,4.2046276770041136,0.8431746346033213,1.0055241833620636,3.5920286804060773,0.7986532180535343,9.586674899521883,0.7983351200170057,0.5241937738912317,0.6938029921708144,0.4480242944794624,4.8620587533650585,5.764580959491382,2.0990324522484083,7.03353797252906,1.175765292807044,2.5912130053078237,0.6521020069222214,1.32417055986185,8.265605515816187,3.0762166931076864,3.885875672566212,1.8298460401512344,13.71607842576178,1.2304045975962448
2022-06-10_13_06_00,12.16923536960666,11.078280931880164,23.4568167356059,12.498761785157546,6.614352026850313,8.549831175788988,4.249765159705729,28.40484161627937,3.0773862161781254,6.932777530308558,2.172965330796644,7.814417245185836,10.96431600911682,3.046921625338099,3.284690318679281,6.856099747047708,5.860896556277955,1.8949994561950896,3.346367081413369,1.2364788104627975,1.6663386342304638,4.204667083159416,0.8431822080780681,1.005237906016632,3.592531866696857,0.7986501886635897,9.588569426219095,0.7983230024574107,0.5241927607567126,0.6938029921708144,0.4480242944794624,4.872737821451923,5.764587021976813,2.0990324522484083,7.033595566140654,1.175771351586841,2.5947718132717186,0.6521020069222214,1.3243296028315343,8.290897892080833,3.0789991877296865,3.892061686739454,1.8298460401512344,13.74947968721942,1.2309467479158511
2022-06-10_13_07_00,12.16916061349846,11.078354895319546,23.45689149574733,12.486887382693553,6.614427324993311,8.549818716437622,4.249765159705729,28.404829156255797,3.077392301492776,6.932795711102278,2.172983589117189,7.81456269153561,10.964508422525784,3.0469703142491875,3.284690318679281,6.856139159049741,5.860939000026497,1.8949388313444544,3.346910856900194,1.236471236988051,1.666326516670869,4.203954741121263,0.8431716052134225,1.0052394207115811,3.59276224114324,0.7986501886635897,9.585853432745967,0.7983260318473095,0.5241907344876745,0.6937939040011183,0.4480242944794624,4.851534278656686,5.764620365646684,2.09902942285851,7.033634972295958,1.175765292807044,2.595572418864731,0.6521030200567404,1.3246916149244348,8.316393237468695,3.081760476622395,3.897967482347064,1.829836946423088,13.782232262775263,1.2347579536076825
2022-06-10_13_08_00,12.169135694795727,11.078219295680682,23.457028556006623,12.48694968281141,6.608930560554516,8.549756419680792,4.249765159705729,28.404829156255797,3.0773314483462677,6.932771470043983,2.172965330796644,7.818901840970506,10.964522058121698,3.0469703142491875,3.285208383069534,6.857312424033365,5.860908683063252,1.8949873312249628,3.3470759586496763,1.2364727516830003,1.6753389516196435,4.2039729285775564,0.8431928109427137,1.0052288178469355,3.592807709783973,0.7986441298837004,9.605477698086409,0.7983351200170057,0.5241927607567126,0.6938045068657638,0.4480242944794624,4.882810640995679,5.764620365646684,2.0989203648221557,7.033583441169792,1.1757683221969426,2.601883371654039,0.6521020069222214,1.3248900399628027,8.340728326525335,3.085421494315032,3.9038096607667994,1.829836946423088,13.81456955810425,1.2380270089799073
2022-06-10_13_09_00,12.16926028830939,11.078280931880164,23.4571282361952,12.487061823023556,6.609068607150011,8.549694122923961,4.250512761120041,28.404829156255797,3.07734970429022,6.932782075506988,2.172953158582948,7.818889720441359,10.964522058121698,3.0469703142491875,3.284634270777412,6.856087620277851,5.860799541995573,1.8950146124077485,3.347556116948627,1.2369756304061923,1.6670005559233405,4.203985053548418,0.8431837227730175,1.0052242737620876,3.593456395725099,0.7988364961451846,9.61281633670074,0.7983275465422589,0.5241856688150792,0.6937999627809157,0.4480040317890812,4.868403144368694,5.764608240675821,2.0990854665716365,7.033634972295958,1.1757668075019931,2.5971302176415514,0.6521009937877023,1.325056656407234,8.364824093779974,3.088155518698652,3.909506428471394,1.829836946423088,13.84305111293282,1.231017419279673
2022-06-10_13_10_00,12.16935996312032,11.078280931880164,23.457115776171623,12.487099203094273,6.608993309007014,8.549831175788988,4.250537681167185,28.404829156255797,3.077343618975569,6.9327881357715615,2.172965330796644,7.81451117928673,10.964522058121698,3.046830333629808,3.28466911136506,6.856302870442805,5.860711622802165,1.8950115811652168,3.3475682345082225,1.236974115711243,1.6670096440930364,4.203985053548418,0.8431716052134225,1.0052288178469355,3.593492770637686,0.7988258932803783,9.63305897555515,0.7983366347119553,0.5241937738912317,0.6938060215607132,0.4480242944794624,4.864971777614697,5.764674928015564,2.0990369963332567,7.033704690878414,1.175771351586841,2.5976491473701877,0.6521020069222214,1.3250475682375376,8.388974390052791,3.091137953053969,3.9146351855699737,1.829836946423088,13.856988766093927,1.235686777246486
2022-06-10_13_11_00,12.169285207012123,11.078317913599856,23.45720299633663,12.487124123141417,6.608980759316514,8.549843635140354,4.250462921025754,28.404754396114367,3.0772949364583613,6.9327881357715615,2.1729775030103404,7.81451117928673,10.964555389578369,3.04687293642701,3.2847418221566747,6.856063366738138,5.860814700477195,1.8949994561950896,3.347589440237514,1.2369847185758889,1.6673292447273544,4.204000209761996,0.8431882668578656,1.0052318472368342,3.593468520695961,0.798656247443479,9.628542423908987,0.7983396641018539,0.5241876950841173,0.6937984480859664,0.4480242944794624,4.846593353030348,5.764726459141728,2.099038511028206,7.033741065791001,1.1757743809767405,2.598587057327197,0.6521020069222214,1.3250460535425883,8.414206178519462,3.0942597393446283,3.919954794232175,1.8298005715105017,13.877646683947985,1.2383369533898123
2022-06-10_13_12_00,12.16916061349846,11.078280931880164,23.457364976643063,12.486887382693553,6.608993309007014,8.549818716437622,4.250562601214329,28.405028516632942,3.0773862161781254,6.932776015242414,2.172965330796644,7.814514209419018,10.964519027989272,3.0469277114519846,3.284703951952709,6.8573518360354,5.8608086370845465,1.8950085499226847,3.347554602253678,1.2369847185758889,1.6673292447273544,4.204000209761996,0.8431746346033213,1.005222759067138,3.5934594269678146,0.798647159273645,9.628236268394716,0.7983275465422589,0.5241927607567126,0.6938045068657638,0.4480232813449433,4.84966097065848,5.764717365413581,2.0993232736786887,7.03378956567445,1.175741057687854,2.5991706008741846,0.652095928115107,1.325056656407234,8.438033844768063,3.0973436582615537,3.66086622314177,1.8298278526949416,13.89867138214838,1.239452551347289
2022-06-10_13_13_00,12.16935996312032,11.078379549799337,23.457489576878785,12.486987062882124,6.608930560554516,8.549818716437622,4.250674741426476,28.40525279705724,3.0773862161781254,6.952338549286898,2.172910555835009,7.8145126943528735,10.964522058121698,3.0469764003630733,3.2852326200000723,6.855981511041606,5.860887461188981,1.8949812687398992,3.347554602253678,1.2369847185758889,1.6673368182021011,4.204003241004712,0.8431806933831187,1.005213670897442,3.59340789584165,0.7986289829339771,9.616635702522329,0.7983411787968032,0.5241876950841173,0.693796933391017,0.4480131499997528,4.86103722456992,5.764811333937763,2.099024878773662,7.033795628159881,1.175757719332297,2.5999479858762267,0.652095928115107,1.325049082932487,8.462214434939868,3.1005230029602893,3.6665463292019225,1.829839977665804,13.917804585008952,1.2425933886737228
2022-06-10_13_14_00,12.16935996312032,11.078206968440789,23.45758925706736,12.487173963235705,6.608943110245015,8.549818716437622,4.250749501567907,28.40496621651509,3.077337533660918,6.952327943823892,2.172953158582948,7.814524814882022,10.964541753982456,3.0469277114519846,3.2846630521324256,6.855987574426534,5.860811668780871,1.8949873312249628,3.347545514083982,1.236577265634507,1.667308038998063,4.204054772130876,0.8431791786881693,1.0052409354065306,3.5934048645989347,0.7986274682390049,9.604456169291268,0.7983275465422589,0.5241937738912317,0.6938075362556626,0.4480131499997528,4.861931441171005,5.7648780212775055,2.098996099569624,7.033813815616174,1.1757562046373478,2.6003659565136887,0.652095928115107,1.3250399947627909,8.124913075443594,3.103284291852998,3.671357000361133,1.829839977665804,13.938059347606282,1.244428824951272
2022-06-10_13_15_00,12.169272747660758,11.07829325912006,23.457601717090927,12.487136583164988,6.609068607150011,8.549893472545818,4.251185602392923,28.404791776185085,3.077337533660918,6.952327943823892,2.1728983836213125,7.818907901235081,10.96456296490943,3.0468851086547826,3.2852477680816587,6.856120968894956,5.86086623931471,1.8949903624674944,3.3475333965243865,1.2365818097193553,1.6670066147031375,4.204000209761996,0.8431549435689794,1.0052242737620876,3.593429114540659,0.7986486739686173,9.620133756616063,0.7983305759321577,0.5241937738912317,0.6937863305263714,0.4480242944794624,4.870376483376513,5.764905302461945,2.099040025723156,7.033929002839365,1.1757592340272465,2.6013311254253155,0.6520918755770309,1.325056656407234,8.150325112609238,3.1064575777719363,3.676628138784955,1.8298217902095104,13.961957663726809,1.2450830398620818
2022-06-10_13_16_00,12.169310125714857,11.078280931880164,23.459657620980288,12.491098870660844,6.61122715391593,8.549893472545818,4.25229454449082,28.40496621651509,3.0772949364583613,6.952353699948331,2.1729166419418577,7.81889881083822,10.964584175836404,3.0468485919714663,3.2852765494366736,6.856127032279885,5.861921269635615,1.895023706135344,3.347450088302172,1.236577265634507,1.6669914677536442,4.204012334732858,0.843165546433625,1.005206097422695,3.593429114540659,0.7986547327485065,9.633307537457824,0.7983275465422589,0.5241937738912317,0.6937939040011183,0.4480242944794624,4.867830239495455,5.764887115005652,2.0989536881110413,7.033910815383073,1.1757440870777525,2.6018137098811285,0.6520888361734736,1.3249369955062331,8.17434363042146,3.109271880987873,3.681778101612826,1.8298460401512344,13.982994486897333,1.2452334689079314
2022-06-10_13_17_00,12.169210450903927,11.07826860464027,23.45981960128672,12.491086410637273,6.61122715391593,8.549881013194453,4.250076660295026,28.404679635972936,3.077337533660918,6.952320368493176,2.172983589117189,7.814532390212739,10.964579630637768,3.0469277114519846,3.284767573895372,6.856154317512061,5.86197280847313,1.8949509563145812,3.3475031026253994,1.2365696921597602,1.6669944971435429,4.204072959587169,0.8431640317386756,1.005230332541885,3.593429114540659,0.7986577621384512,9.630252044800557,0.7983078555079172,0.5241887082186364,0.6938029921708144,0.4480192288068671,4.872437728423084,5.764929552403669,2.098893100313066,7.034016908878115,1.1755396032595873,2.6025365769739373,0.6520797179628021,1.3249385102011826,8.196982261134803,3.111883215080593,3.6859238216892622,1.8298339151803729,14.004846714308908,1.2452304401351963
2022-06-10_13_18_00,12.169297666363487,11.078206968440789,23.45986944138101,12.491024110519412,6.611151855772933,8.549818716437622,4.250425540955039,28.404829156255797,3.0773557896048707,6.952287037038019,2.172959244689796,7.814517239551305,10.964559934777006,3.0468851086547826,3.285281093861149,6.856157349204526,5.86084501744044,1.8950115811652168,3.347492499760754,1.2365787803294563,1.666999041228391,4.204060834616307,0.8431625170437264,1.0052197296772394,3.593450333239668,0.7986486739686173,9.636287249047204,0.7983184583725625,0.5241856688150792,0.6938029921708144,0.4480242944794624,4.866532867613203,5.764981083529833,2.0990672902322443,7.034059346276134,1.175535059174739,2.603397758021654,0.652077691693764,1.324952142455727,8.221270394648013,3.1152337203086087,3.690499715131321,1.8298278526949416,13.543991755990312,1.2452294305442846
2022-06-10_13_19_00,12.169372422471683,11.078354895319546,23.459969121569586,12.491148710755132,6.611076557629936,8.549818716437622,4.250500301096469,28.404829156255797,3.0773862161781254,6.952267341178153,2.1727766614843467,7.814530875146596,10.96456296490943,3.046921625338099,3.2847599998545784,6.856111873817564,5.860893524581631,1.8949752062548355,3.3475031026253994,1.2365802950244058,1.6670141881778848,4.209495852805278,0.8433866918962335,1.0051954945580497,3.593920175860577,0.7986395857987834,9.643328825875416,0.7983154289826639,0.5241806031424839,0.6937939040011183,0.4480060580581194,4.852346651704453,5.764917427432807,2.0990672902322443,7.0341108774022985,1.1755335444797896,2.603859141068321,0.6520928887115498,1.324952142455727,8.244289213793648,3.118672077843688,3.694922624383493,1.829809665238648,13.574276900125287,1.245231449726108
2022-06-10_13_20_00,12.16935996312032,11.078354895319546,23.43460051357725,12.491024110519412,6.611151855772933,8.549756419680792,4.250575061237901,28.404829156255797,3.077258424570456,6.952341579419184,2.1729166419418577,7.814533905278882,10.964550844379731,3.0469277114519846,3.2847372777321997,6.8574640086565735,5.860848049136764,1.8949358001019223,3.3476939541890203,1.2365863538042037,1.6670005559233405,4.212505876821815,0.8431579729588782,1.0052212443721886,3.5939474570450174,0.798642615188728,9.661837593896532,0.7983260318473095,0.5241694586627743,0.6937772423566752,0.4480121368652337,4.8719436358604495,5.764996239743411,2.0989945848746743,7.034077533732427,1.175510824055549,2.620696088703465,0.6520949149805879,1.3249263926415875,8.268524332983631,3.121563630502042,3.700111969280048,1.8298278526949416,13.606529320663386,1.2452284209533728
2022-06-10_13_21_00,12.169297666363487,11.078354895319546,23.43453821345939,12.490824750142265,6.611151855772933,8.549831175788988,4.250712121497192,28.40444289552507,3.077343618975569,6.95230067263331,2.172953158582948,7.814533905278882,10.964561449843217,3.0469764003630733,3.2847418221566747,6.856290743672949,5.860905651366928,1.8950085499226847,3.3476121606617544,1.236577265634507,1.6676655070061153,4.212466470666513,0.8431716052134225,1.0051985239479482,3.593477614424108,0.7986532180535343,9.630218701130683,0.798344208186702,0.5241785768734458,0.693796933391017,0.448018215672348,4.860879599948712,5.763122931745205,2.098962776280737,7.034156346043032,1.175525971005043,2.611043389996287,0.6521030200567404,1.3263441471142017,8.293959090573518,3.124765695625019,3.70612985231391,1.8298278526949416,13.639827519874949,1.245223372998814
2022-06-10_13_22_00,12.169210450903927,11.078354895319546,23.43472511381297,12.491161170778703,6.611164405463432,8.549831175788988,4.25063736135576,28.40243683173,3.0772888511437104,6.952312793162458,2.1729288141555543,7.818820027398759,10.964534178651396,3.0468425058575805,3.284773633128006,6.85623314151613,5.860835922351466,1.8950176436502808,3.3476212488314507,1.2365590892951146,1.667841211620243,4.212487689365521,0.8431640317386756,1.005230332541885,3.593398802113504,0.7986304976289496,9.629879201946542,0.7983260318473095,0.5241856688150792,0.6937772423566752,0.448018215672348,4.865750806992592,5.763144150444213,2.099114245775675,7.034153314800315,1.1755274856999922,2.611580492361334,0.6520857967699164,1.326382014487936,8.318303267799855,3.12793140806921,3.710892053234742,1.829809665238648,13.710661595357497,1.2455131255904843
2022-06-10_13_23_00,12.169210450903927,11.07836722255944,23.435547475368715,12.491298231037993,6.61122715391593,8.549893472545818,4.25063736135576,28.403009992814304,3.077343618975569,6.952318853427032,2.1729227280487056,7.818910931367368,10.964540238916246,3.0468911947686688,3.2847387925403573,6.856260426748308,5.860875334403684,1.8949600500421768,3.347562175728425,1.2365500011254182,1.667853329179838,4.212557407947979,0.8431731199083717,1.00521821498229,3.5933897083853568,0.7986395857987834,9.6268873653863,0.7983366347119553,0.5241755374698887,0.6937984480859664,0.4480242944794624,4.854038085139727,5.7631532441723605,2.09900367304437,7.034229095868204,1.1755365738696886,2.6131554541836537,0.6520705997521306,1.326389587962683,8.342232418610063,3.131445500351757,3.7158435910242447,1.8298278526949416,13.743138327842944,1.2452344784988432
2022-06-10_13_24_00,12.169335044417588,11.078280931880164,23.458311938434527,12.491298231037993,6.61122715391593,8.549743960329426,4.25063736135576,28.40297261274359,3.0773862161781254,6.952323398625462,2.172965330796644,7.818907901235081,10.964558419710793,3.0469764003630733,3.28475848504642,6.857421564962076,5.860735876372759,1.8949933937100265,3.3475848961526657,1.2365439423456208,1.6678230352808503,4.212560439190695,0.843165546433625,1.005222759067138,3.593423052055228,0.7986395857987834,9.655508359106474,0.7983351200170057,0.5241613535866219,0.6937908746112195,0.44801618940331,4.869906640755604,5.763241150211111,2.0990733490120417,7.034286689479799,1.1755320297848404,2.6138056307308166,0.6520837705008783,1.3263926173525815,8.364528728264848,3.1337175427758184,3.7205800421309374,1.8298278526949416,13.772762661105997,1.245235488089755
2022-06-10_13_25_00,12.169347503768954,11.078219295680682,23.435759295769437,12.491310691061566,6.611151855772933,8.549818716437622,4.25063736135576,28.40251159187143,3.0772949364583613,6.95230976303017,2.172959244689796,7.814549055940318,10.964581145703978,3.046933797565871,3.2853568342690807,6.856260426748308,5.860823795566168,1.8950146124077485,3.347580352067818,1.2365712068547097,1.667865446739433,4.21253618924897,0.8431731199083717,1.0052288178469355,3.593189646366131,0.7986259535440324,9.667578767599776,0.7983336053220564,0.5241694586627743,0.6939590057506,0.4480192288068671,4.860346101230776,5.763229025240249,2.099020334688813,7.034304876936092,1.1755214269201948,2.6143255700503647,0.6520868099044355,1.3263789850980372,8.389166756311363,3.1364939786180206,3.7254058602396425,1.8298460401512344,13.78620319049189,1.2452405360443135
2022-06-10_13_26_00,12.169285207012123,11.078145332241304,23.436207856618022,12.491323151085137,6.611151855772933,8.549831175788988,4.250712121497192,28.402686032201437,3.07734970429022,6.952308247964028,2.1729288141555543,7.814538450477314,10.964555389578369,3.0469764003630733,3.285361378693557,6.8564362649112285,5.860932936633848,1.8949782374973672,3.34757429328802,1.2365712068547097,1.6678563585697366,4.212554376705264,0.8431503994841312,1.0052197296772394,3.593244208735011,0.7986304976289496,9.702923057663028,0.7983366347119553,0.5241785768734458,0.6938075362556626,0.4480131499997528,4.857393670825835,5.7632502439392574,2.0991172751655736,7.0350960312848505,1.175530515089891,2.615091849552378,0.6520868099044355,1.3263532352838978,8.41319587698823,3.139956571272289,3.730071120683714,1.829718727957182,13.80400264663848,1.2452223634079025
2022-06-10_13_27_00,12.169347503768954,11.078133005001408,23.43776535956451,12.491310691061566,6.611151855772933,8.549893472545818,4.250712121497192,28.402499131847858,3.077337533660918,6.952337034220754,2.172867953087071,7.814515724485162,10.964564479975644,3.0468911947686688,3.284828166221717,6.85634228244484,5.860902619670603,1.8949812687398992,3.3475727785930705,1.2365787803294563,1.6678366675353946,4.212599845345997,0.8431791786881693,1.0052197296772394,3.59326542743402,0.7986486739686173,9.715730058136204,0.7983139142877146,0.5241856688150792,0.6938075362556626,0.4480101105961956,4.860136945483403,5.763338149978008,2.099103642911029,7.034371564275835,1.175519912225245,2.6158137070542744,0.6520939018460689,1.3263683822333916,8.435746655394508,3.1426921103508585,3.734325898796505,1.829824821452226,13.82562753086017,1.2452334689079314
2022-06-10_13_28_00,12.169347503768954,11.0781576594812,23.437740439517363,12.49127331099085,6.61122715391593,8.549893472545818,4.2505875212614725,28.402499131847858,3.0772949364583613,6.952297642501024,2.1729775030103404,7.8145399655434575,10.96455690464458,3.0468851086547826,3.284823621797241,6.85632106059759,5.860893524581631,1.8950176436502808,3.347554602253678,1.2365802950244058,1.6678245499757998,4.21261803280229,0.8431761492982706,1.0052288178469355,3.593253302463158,0.798642615188728,9.783614738750831,0.7983320906271071,0.5241694586627743,0.6937999627809157,0.4480222682104243,4.870591701609317,5.763383618618741,2.0990763784019406,7.03436853303312,1.1758486010292597,2.6175683760588844,0.6521040331912594,1.3263789850980372,8.459480410556248,3.1453958408354907,3.738600367943638,1.8298187589667947,13.851750778999016,1.2452415456352257
2022-06-10_13_29_00,12.169310125714857,11.078120677761513,23.437952259918085,12.491198550849418,6.611151855772933,8.549818716437622,4.25069966147362,28.40263619210715,3.0773862161781254,6.952314308228602,2.172965330796644,7.814524814882022,10.96457660050534,3.0469764003630733,3.284800899674862,6.856333187367447,5.860954158508119,1.8950146124077485,3.3475833814577167,1.2365757509395578,1.6678563585697366,4.212627126530437,0.8431791786881693,1.0052273031519865,3.593268458676735,0.7986304976289496,9.753666060721248,0.798303311423069,0.5241694586627743,0.6937999627809157,0.4480060580581194,4.853077181198899,5.763350274948871,2.0990324522484083,7.034438251615577,1.1755502061242329,2.644404312083935,0.6520857967699164,1.3263880732677336,8.483511045928065,3.148413113174644,3.7435625085977873,1.8298521026366656,13.883872856108251,1.2452304401351963
