,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2022-06-10_12_10_00,12.169297666363487,11.07829325912006,23.42169192915679,12.528354341140744,6.611377750201925,8.549893472545818,4.250662281402904,28.40211287111713,3.077343618975569,6.932748744051831,2.1729166419418577,7.814005147194812,10.940008286806156,3.04687293642701,3.2844479493739,6.810818388403218,5.815351382395922,1.894972175012304,3.337524292298924,1.2363182527981642,1.6644573831033416,4.200750717570932,0.8430822382114095,1.0052242737620876,3.585262946664981,0.7986289829339771,9.658466851996849,0.7983139142877146,0.5241927607567126,0.6937348308980926,0.4480242944794624,4.85937004107637,5.704607822364327,2.097570771622263,7.031006884861579,1.175441148087878,2.585258438110361,0.653581183320045,1.323505608779075,8.790180729463152,3.201631920220896,3.94498209888068,1.8275635143864293,12.992196490475896,1.2299310994586372
2022-06-10_12_11_00,12.169285207012123,11.07836722255944,23.4218663694868,12.528329421093598,6.611377750201925,8.549881013194453,4.250724581520764,28.402125331140702,3.077337533660918,6.932779045374701,2.172965330796644,7.814009692393242,10.940027982666916,3.046921625338099,3.2844706714962792,6.80962086987988,5.815408984626086,1.8949418625869865,3.3374727926706456,1.2363091646284678,1.6644573831033416,4.202633119297285,0.8430792088215107,1.0052394207115811,3.5852871966067053,0.7986289829339771,9.74243833770287,0.7983108848978158,0.5241907344876745,0.6937393749829408,0.4480242944794624,4.860273351405602,5.704923071606744,2.097710123557605,7.03120391563809,1.1754305452232323,2.585250361383067,0.653581183320045,1.3235480202376575,8.81440373109354,3.204720383222669,3.950283531203489,1.8270421406393555,13.024236724036772,1.2299290802768137
2022-06-10_12_12_00,12.169185532201194,11.078243950160475,23.421966049675373,12.528566161541466,6.611377750201925,8.549893472545818,4.250737041544335,28.40210041109356,3.0725362204013336,6.932783590573131,2.1729166419418577,7.814043023848398,10.93999313614403,3.0469642281353013,3.284473701112596,6.85678187785214,5.815290748469433,1.8949752062548355,3.3374788514504425,1.2363182527981642,1.6644588977982908,4.202002620812452,0.84308072351646,1.00524245010148,3.585350852703732,0.7986289829339771,9.727818654085798,0.7983123995927651,0.5241917476221936,0.6937393749829408,0.4480242944794624,4.853259055761831,5.705132227354117,2.097608638995997,7.027636142961893,1.1754472068676751,2.585296802565007,0.6535832095890832,1.3235480202376575,8.837826973790659,3.2074665251658843,3.758380769287512,1.82703910939664,13.054640086630489,1.229924032322255
2022-06-10_12_13_00,12.16935996312032,11.078305586359958,23.42199096972252,12.528591081588608,6.611365200511425,8.54985609449172,4.2505875212614725,28.40211287111713,3.0773801308634745,6.932766924845553,2.1729227280487056,7.814043023848398,10.956025566802936,3.0469642281353013,3.2850281208986565,6.854914355294227,5.812989690959185,1.894972175012304,3.3381619788726105,1.2363182527981642,1.6644588977982908,4.202032933239607,0.84308072351646,1.0052409354065306,3.5853690401600256,0.7986289829339771,9.703038244886216,0.7983169436776133,0.5241907344876745,0.6937424043728395,0.4480242944794624,4.851928340209708,5.705271664519032,2.097678314963668,7.027660392903619,1.1754562950373717,2.5852604572921845,0.6535832095890832,1.3235495349326067,8.867051498143878,3.21074281034138,3.7691290446482695,1.8270421406393555,13.096895607523448,1.2299300898677257
2022-06-10_12_14_00,12.169285207012123,11.078354895319546,23.42209064991109,12.528578621565035,6.611315001749427,8.549881013194453,4.2505875212614725,28.402125331140702,3.077343618975569,6.932797226168422,2.172904469728161,7.814023327988534,10.955960418955806,3.0469642281353013,3.284467641879961,6.854902228524369,5.815375635966517,1.894972175012304,3.3381710670423077,1.2367151028749002,1.6644588977982908,4.202063245666763,0.8430928410760551,1.0052394207115811,3.5854326962570515,0.7986289829339771,9.703556587390576,0.7983154289826639,0.5241927607567126,0.6937439190677889,0.4480242944794624,4.834428976012867,5.705486882751835,2.097593492046504,7.027836204981119,1.296489509662042,2.585316994383242,0.6535852358581213,1.3235495349326067,8.89160167388333,3.2141084625188885,3.7738670104499104,1.827048203124787,13.129369308766364,1.2299300898677257
2022-06-10_12_15_00,12.16923536960666,11.07829325912006,23.422190330099664,12.528591081588608,6.611302452058927,8.549743960329426,4.250749501567907,28.40211287111713,3.077392301492776,6.932785105639275,2.1729775030103404,7.818394293812444,10.955957388823382,3.0469703142491875,3.2844524937983754,6.855732912259546,5.815333192217976,1.8949661125272403,3.3381725817372567,1.2367135881799507,1.6644649565780885,4.2019662458998654,0.8430670912619157,1.0052348766267332,3.5851811031116614,0.7988077169407106,9.68013417492756,0.7983169436776133,0.5241917476221936,0.6937469484576876,0.448018215672348,4.853953210343692,5.705768788324381,2.0976798296586177,7.027990798359612,1.1754638685121186,2.585281658701331,0.653581183320045,1.323546505542708,8.618841466179877,3.216857633852002,3.780733122655423,1.827048203124787,13.16412250439318,1.2299260515040784
2022-06-10_12_16_00,12.169210450903927,11.078354895319546,23.4271369594577,12.52860354161218,6.611289902368428,8.549818716437622,4.250749501567907,28.402187631258563,3.077337533660918,6.932783590573131,2.172965330796644,7.8183973239447315,10.95596344908823,3.0468485919714663,3.2844418901412644,6.855729880567081,5.815263463202513,1.8954117051794117,3.3381740964322058,1.2367151028749002,1.6647709249578615,4.202066276909478,0.8430686059568651,1.005233361931784,3.58528416536399,0.7988107463306552,9.676727058115288,0.7983184583725625,0.5241927607567126,0.6937408896778902,0.4480242944794624,4.84760578809734,5.705947631644598,2.0977267852020485,7.028118110553666,1.175477500766663,2.599506794647795,0.6535832095890832,1.3235495349326067,8.648918763789593,3.2198870237507498,3.7912405615192295,1.827060328095649,13.208624176002187,1.2299220131404314
2022-06-10_12_17_00,12.169347503768954,11.078305586359958,23.427236639646274,12.528528781470747,6.611302452058927,8.549893472545818,4.250761961591479,28.403209353191457,3.0774044721220783,6.932762379647123,2.172953158582948,7.814049084112973,10.963579686937626,3.046939883679757,3.283289121132543,6.855711690412297,5.815318033736353,1.8954298926346016,3.3381862139918006,1.2367151028749002,1.6644740447477848,4.202320901297584,0.8430670912619157,1.0052348766267332,3.585335696490154,0.7988077169407106,9.675602467067822,0.7983078555079172,0.5241937738912317,0.6937530072374851,0.4480242944794624,4.848536379611012,5.706093131294944,2.0976374182000352,7.028245422747719,1.1754744713767642,2.599553235829735,0.653581183320045,1.3235480202376575,8.678364433605422,3.222920957734346,3.8027507284395217,1.827054265610218,13.251904256870889,1.2299220131404314
2022-06-10_12_18_00,12.16916061349846,11.078243950160475,23.427311399787705,12.528628461659324,6.611302452058927,8.549818716437622,4.250761961591479,28.403271653309314,3.0773862161781254,6.932780560440845,2.172959244689796,7.814027873186964,10.963593322533535,3.046915539224213,3.283292150748861,6.855590422713731,5.8152968118620825,1.8954117051794117,3.338180155212003,1.2363061352385691,1.6651374811356103,4.202345151239308,0.8430580030922193,1.0052348766267332,3.585314477791145,0.7988137757205999,9.719764642190594,0.7985290009705257,0.5241907344876745,0.6937378602879913,0.4480242944794624,4.868436488038565,5.707305628381162,2.097660138624276,7.028363641213625,1.1754881036313083,2.599600686602587,0.6535821964545641,1.3236949456477467,8.701721029724768,3.226013964820967,3.807732560128013,1.827048203124787,13.283647428663649,1.229915955594961
2022-06-10_12_19_00,12.16916061349846,11.07823162292058,23.42738615992913,12.528591081588608,6.611390299892424,8.549756419680792,4.250774421615051,28.403271653309314,3.0773801308634745,6.932792680969992,2.172971416903492,7.814041508782255,10.963593322533535,3.0469642281353013,3.284461582647327,6.85573594395201,5.8153362239143,1.8949358001019223,3.338193787466547,1.2362834148143285,1.6651511133901546,4.202545213258534,0.84305648839727,1.005233361931784,3.5853660089173096,0.7988031728557936,9.712592721925615,0.7985471773099181,0.5241978264293079,0.6937560366273838,0.4480253076139815,4.8641684982950775,5.707420815604353,2.0977358733717444,7.028472765951384,1.175518397530296,2.6044578284789845,0.6535832095890832,1.3236949456477467,8.72588041416728,3.228852503156094,3.813286946507367,1.827060328095649,13.31523600708729,1.229915955594961
